SpecimenName	min_yr	max_yr
Acanthognathus poinari	13.82	20.44
Acanthostichus hispaniolicus	13.82	20.44
Afropone oculata	89.8	93.9
Alloiomma changweiensis	15.97	20.44
Archimyrmex piatnitzkyi	41.3	47.8
Attopsis longipennis	11.608	12.7
Bradoponera wunderlichi	33.9	38.
Britaneuretus anglicus	33.9	38.
Brownimecia clavata	89.8	93.9
Canapone dentata	70.6	83.5
Casaleia eocenica	40.4	48.6
Ceratomyrmex ellenbergeri	93.5	99.6
Eulithomyrmex rugosus	33.9	37.2
Formicium berryi	38.	41.3
Paraponera dieteri	13.82	20.44
Pseudomyrmex extinctus	33.9	37.2
